District_ID,School_ID,School_Name
4329,90322,Sequoia Pathfinder Academy at Verrado Way and I-10
4331,6344,AAEC - Paradise Valley
4332,5504,Genesis Academy
4334,88232,International Commerce High School - Phoenix
4335,5507,NFL YET College Prep Academy
4336,5509,Heritage Academy
4336,1000169,Heritage Academy Maricopa
4337,79042,International Commerce High School - Tempe
4337,81181,Humanities and Sciences Academy Arizona
4337,1001879,International Commerce High School MCG
4342,78899,Kaizen Education Foundation dba El Dorado High School
4342,92246,Glenview College Preparatory High School
4345,5519,Arizona School For The Arts
4346,5520,City View High School 
4348,90769,"American Leadership Academy, Queen Creek K-12"
4348,92348,"American Leadership Academy, Anthem K-6"
4348,92885,"American Leadership Academy, Ironwood K12"
4348,509281,"American Leadership Academy, Gilbert North K-12"
4348,1001506,AMERICAN LEADERSHIP ACADEMY VIRTUAL 
4348,1001509,"American Leadership Academy, West Foothills K-12"
4348,1001761,American Leadership Academy of Applied Technologies
4352,10746,Intelli-School - Paradise Valley
4352,1001763,IntelliSchool Online
4355,92270,Benjamin Franklin High School
4361,5549,Tempe Preparatory Academy
4368,5565,Lake Havasu High School
4368,85839,Havasuonline
4369,1001855,Music Mountain Academy
4370,5567,El Capitan Public School
4374,85821,Beaver Dam High School
4381,5592,Mohave High School
4381,5593,River Valley High School
4381,90858,CRUHSD Academy
4383,79373,Kingman Academy of Learning - High School
4386,7654,Navajo County Instruction for Success (NCIS)
4387,5604,Winslow High School
4388,5606,Joseph City High School
4389,5610,Holbrook High School
4390,5613,Pinon High School
4391,5618,Snowflake High School
4392,5625,Mogollon High School
4393,5632,Show Low High School
4393,79646,White Mountain Institute
4393,91203,WMI ON LINE
4394,5637,Alchesay High School
4396,5644,Monument Valley High School
4397,5648,Blue Ridge High School
4400,5652,Northern AZ Academy for Career Dev. - Taylor
4401,1001696,Pima County Schools Superintendent's Diploma Program
4403,5756,Catalina High School
4403,5757,Cholla High School
4403,5758,Palo Verde High Magnet School
4403,5759,Pueblo High School
4403,5760,Rincon High School
4403,5761,Sabino High School
4403,5762,Sahuaro High School
4403,5763,Santa Rita High School
4403,5764,Tucson Magnet High School
4403,5766,University High School
4403,6264,Project More High School
4403,6269,Mary Meredith K-12 School
4403,6272,Teenage Parent Program - TAPP
4403,85924,Catalina Online Learning Experience
4403,1001156,Innovation Tech High School
4404,5781,Marana High School
4404,5782,Mountain View High School
4404,6279,MCAT High School
4404,87083,Marana Distance Learning
4405,5791,Flowing Wells High School
4405,6054,Sentinel Peak High School
4405,91832,Flowing Wells Digital Campus
4406,5803,Rillito Center
4406,5808,Canyon Del Oro High School
4406,6055,Amphitheater High School
4406,79378,Ironwood Ridge High School
4406,91755,Amphi Academy Online
4407,5826,Desert View High School
4407,5827,Sunnyside High School
4407,6288,STAR Academic High School
4407,91829,Sunnyside Online Success Academy
4408,87466,Tanque Verde High School
4409,6292,Ajo High School
4410,5839,Catalina Foothills High School
4411,5843,Sahuarita High School
4411,90824,Walden Grove High School
4411,1001695,Sahuarita Digital Pathways Academy
4412,5847,Baboquivari High School
4412,90822,Alternative High School (Indian Oasis High School)
4413,10855,Vail Academy & High School
4413,79721,Cienega High School
4413,84665,Pantano High School
4413,87875,Empire High School
4413,90845,Vail Innovation Center
4413,91292,Andrada Polytechnic High School
4413,1000597,Mica Mountain High
4420,6057,Pima Vocational High School
4421,5860,Edge High School - Himmel Park
4421,80928,EDGE High School - Northwest
4422,5861,Alternative Computerized Education (ACE) Charter High School
4422,90286,Youth Works Charter High School
4425,5865,Presidio School
4431,5873,PPEP TEC - Celestino Fernandez Learning Center
4431,5876,PPEP TEC - Alice S. Paul Learning Center
4431,5877,PPEP TEC - Raul H. Castro Learning Center
4431,5878,PPEP TEC - Cesar Chavez Learning Center
4431,5879,PPEP TEC - Jose Yepez Learning Center
4431,5880,PPEP TEC - Colin L. Powell Learning Center
4435,6067,Villa Oasis Interscholastic Center For Education (voice)
4437,5897,Florence High School
4437,89907,San Tan Foothills High School
4437,90309,Poston Butte High School
4437,90781,Florence Virtual Academy
4437,92280,Mountain Vista Academy
4438,5900,Ray JR/SR High School
4439,5904,San Manuel High School
4440,5907,Superior Junior/Senior High School
4441,5910,Maricopa High School
4441,1001089,Maricopa Virtual Academy
4442,5916,Coolidge High School
4442,92608,Coolidge Alternative Program
4442,1001734,Coolidge Virtual Academy
4443,5925,Apache Junction High School
4445,89859,Combs High School
4445,1001141,Combs Online School for Success
4445,1001830,Combs Center for Success High School
4453,5948,Casa Grande Union High School
4453,90084,Vista Grande High School
4453,1001708,INOVA
4454,5951,Santa Cruz Valley Union High School
4454,90415,Santa Cruz Center for Success
4457,5961,Pierson High School
4457,5962,Nogales High School
4457,91269,NUSD Online
4458,5966,Rio Rico High School
4462,5971,Patagonia Union High School
4466,8135,Prescott High School
4466,1001973,Genesis Academy
4467,6085,Sedona Red Rock Junior/Senior High School
4467,90826,Red Rock Academy
4468,6089,Bagdad Middle / Senior High School
4468,1001181,Sultan Virtual Academy
4469,6097,Bradshaw Mountain High School
4469,87536,Bradshaw Mountain Online Academy
4470,6100,Camp Verde High School
4470,84659,Camp Verde Accommodation School
4470,1000257,Camp Verde Online
4471,6103,Ash Fork High School
4472,6105,Seligman High School
4473,6106,Mayer High School
4474,6110,Chino Valley High School
4487,6123,Cottonwood Education Services
4488,6127,Mingus Union High School
4488,91320,Mingus Online Academy
4506,6188,Antelope Union High School
4506,92739,AUHS Online Acadamy
4507,6189,Yuma High School
4507,6190,Kofa High School
4507,6191,Cibola High School
4507,6302,Vista High School
4507,80409,San Luis High School
4507,89576,Gila Ridge High School
4507,91316,Yuma Online Distance Academy
4509,6193,Educational Opportunity Center
4510,6197,Parker High School
4510,80408,Parker Alternative School
4515,6203,Salome High School
5180,89828,Paradise Honors High School
5181,10847,Metropolitan Arts Institute
5186,10801,Westland School
5186,92637,Westland School Brighton Campus
6353,5653,Shonto Preparatory Technology High School
6365,6366,American Heritage Academy - Cottonwood
6369,5872,Ha:san Preparatory & Leadership School
6374,5892,Tucson Preparatory School
6379,10814,"Learning Institute, The"
6393,6395,ASDB - Phoenix Day School for the Deaf
6393,78941,ASDB - Tucson Campus
6446,10849,Sequoia Secondary School
8304,8305,Utah
10386,81127,Tse'yaato' High School
10386,85842,Ponderosa High School
10386,1001242,CCASD Online Instruction
10879,10885,Mountain Rose Academy
10965,78821,Tri-City College Prep
78833,78836,Eastpointe High School
78897,78898,Academy of Tucson High School
78997,79022,Student Choice High School
78997,90737,Student Choice High School
79000,79028,Southern Arizona Community Academy
79000,92518,SACA Online
79047,79129,Tech Campus
79047,80025,Career Success Schools - STEM Academy 7-12
79047,80430,Robert L. Duffy High School
79049,79127,Sonoran Science Academy - Tucson
79049,1001746,Sonoran Virtual Academy
79053,79123,Career and College Prep
79059,79117,Thrivepoint High School at Union Hills
79059,81143,ThrivePoint High School at Surprise
79059,90075,ThrivePoint High School at Metro
79059,90389,ThrivePoint High School at Grovers
79059,90768,ThrivePoint High School at Buckeye
79059,90815,ThrivePoint Online High School
79059,91199,ThrivePoint High School at Avondale
79063,79113,James Madison Preparatory School
79065,79111,Valley Preparatory Academy
79068,79108,PACE Preparatory Academy
79074,79102,Country Gardens Charter School
79077,79099,Cornerstone Charter School
79084,79092,Skyline Prep High School
79085,79091,Southgate Academy
79211,10848,Sequoia Village School
79211,90324,Sequoia Village High School
79213,10795,Academy with Community Partners
79218,78857,Telesis Preparatory Academy
79226,4799,Benson High School
79226,85879,Benson Digital Learning Center
79226,90775,Benson Digital Learning Center Online
79264,78809,Horizon Honors Secondary School
79379,79380,Yavapai County High School
79379,91815,Aspire  High School
79439,79619,Pinnacle Charter High School-Tempe East
79439,289884,Pinnacle Online - WMCB
79441,79442,Desert Rose Academy Charter School
79455,79456,North Pointe Preparatory
79461,81178,Primavera - Online
79467,79468,Compass High School
79475,79476,Crown Point High School
79496,79506,Deer Valley Academy
79498,79510,Mohave Accelerated Learning Center
79499,79511,Masada Charter School
79501,79513,Harvest Preparatory Academy
79503,79505,Omega Alpha Academy School
79569,79570,Premier Charter High School
79578,79579,Pan-American Charter School
79598,5595,Kingman High School
79598,91772,Lee Williams High School
79598,1001750,Kingman Online Learning Academy (KOLA) High School
79701,79702,Arizona Preparatory Academy
79872,78901,Desert Hills High School
79873,78900,Estrella High School
79874,78813,Crestview College Preparatory High School
79875,78817,Peoria Accelerated High School
79876,10749,Kaizen Education Foundation dba Summit High School
79877,6347,Sun Valley High School
79878,6349,Kaizen Education Foundation dba Quest High School
79879,6348,West Phoenix High School
79880,6350,Skyview High School
79881,79899,Nosotros Academy
79882,10748,Kaizen Education Foundation dba Maya High School
